#,Punktsymbolname,Liste der 'alten' Punktsymbole,Nr.,Offset(15*15),Offset (23*23),Offset (32*32),Index in Bitmap
1,Allgemeine Symbole,,,,,,
2,,Verkehrsanlage,,,,,
3,,,Brücken,,,,
,Brücke,16,127,"2,4","0,5","1,8",52
,Kleine Brücke/Fußgängersteg,17,128,"2,5","1,7","1,9",53
3,,,Bahnanlagen,,,,
,S-Bahn-Haltestelle,56,129,"1,1","1,1","0,0",54
,U-Bahn-Haltestelle,65,130,"1,1","1,1","0,0",55
,Drehscheibe/Verschiebeanlage,214,131,"1,2","0,2","0,1",171
,Weiche,180,132,"1,4","0,4","0,6",172
3,,,Signale,,,,
,einflügliges Signal,207,133,"3,1","3,1","5,0",173
,zweiflügliges Signal,213,134,"2,1","1,1","0,0",174
,Signal,208,135,"4,1","5,1","4,0",175
,Signal,206,136,"2,1","3,1","2,0",176
,Warnkreuz/eingleisiger Schienenverkehr,194,137,"3,1","4,1","3,0",177
,Warnkreuz/mehrgleisiger Schienenverkehr,195,138,"3,1","4,1","3,0",178
3,,,Straßen-/Wegeanlagen,,,,
,Kilometerstein,221,139,"2,2","1,1","0,0",179
,Verkehrszeichen,191,140,"4,2","5,0","8,0",180
,Warnzeichen,190,141,"4,1","5,0","8,0",181
,Hinweiszeichen,192,142,"4,1","5,1","6,0",182
,Flugplatz,27,143,"1,1","0,0","0,0",56
2,,Hydrographie,,,,,
,Quelle,45,144,"5,2","5,0","8,0",57
,Fontäne,,145,"0,0","0,0","1,0",195
2,,Bodenbewachsung,,,,,
3,,,Wälder,,,,
,Laubbaum (-wald),37,146,"4,1","5,0","6,0",59
,Nadelbaum (-wald),"35,38,70",147,"2,1","1,0","3,0",60
,Mischwald,,148,"1,1","2,0","2,0",167
,Laubmischwald,,149,"3,0","2,0","3,0",184
,Nadelmischwald,,150,"1,0","2,0","1,0",185
,Laub-Nadel-Mischwald,"72,73,74,75,76,78,79,80,81,92,93",151,"1,1","2,0","2,0",61
,"Wald, Abholzungen",67,152,"2,2","1,1","2,0",62
,"Wald, abgestorben/Waldbrandfläche",68,153,"1,2","1,1","2,0",63
3,,,Acker/Grünland,,,,
,Wiese/Weide,94,154,"2,3","2,3","4,4",64
3,,,"Einzelholzbestand, Gehölze",,,,
,Einzelbaum,"34,69",155,"4,1","5,0","6,0",58
,Gebüsch,31,156,"1,2","0,2","0,3",65
,Kleines Waldstück,82,157,"3,2","4,3","4,3",66
3,,,Gartenland,,,,
,Obstanbaugebiet,141,158,"2,1","1,0","2,0",109
3,,,Friedhof,,,,
,Friedhof,28,159,"1,3","1,5","0,6",67
3,,,Feuchtgebiete,,,,
,"Nasse Stelle, Sumpf",,160,"0,5","0,8","0,12",90
,"Nasse Stelle, Sumpf mit Röhricht",50,161,"1,1","0,1","0,1",68
,"Nasse Stelle, Sumpf mit Gras",95,162,"0,1","0,1","0,1",69
,"Nasse Stelle, Sumpf mit Gebüsch",,163,"0,0","0,0","0,0",95
,Röhricht,49,164,"2,3","1,3","1,5",70
2,,Geodätische Festpunkte,,,,,
,Trigonometrischer Punkt,59,165,"1,1","1,1","0,0",71
,Trigonometrischer Hochpunkt auf Gebäude,,166,"2,2","0,0","0,0",186
,Trigonometrischer Punkt auf Kirche,60,167,"2,2","1,1","0,0",72
,Trigonometrischer Punkt auf Turm,61,168,"4,1","6,0","8,0",73
,Nivellementspunkt,43,169,"2,2","1,1","0,0",74
